"Wijken en buurten";"Regioaanduiding/Gemeentenaam (naam)";"Regioaanduiding/Soort regio (omschrijving)";"Regioaanduiding/Codering (code)";"Regioaanduiding/Indelingswijziging wijken en buurten (code)";"Postcode/Meest voorkomende postcode (code)";"Postcode/Dekkingspercentage (code)"
"Wijk 00 IJsselstein";"IJsselstein                             ";"Wijk      ";"WK035300  ";"1";"         .";
"IJsselstein-Binnenstad";"IJsselstein                             ";"Buurt     ";"BU03530001";"1";"      3401";1
"Nieuwpoort";"IJsselstein                             ";"Buurt     ";"BU03530002";"1";"      3401";1
"Groenvliet";"IJsselstein                             ";"Buurt     ";"BU03530003";"1";"      3401";1
"Kasteelkwartier";"IJsselstein                             ";"Buurt     ";"BU03530004";"1";"      3401";1
"Europakwartier";"IJsselstein                             ";"Buurt     ";"BU03530005";"1";"      3402";1
"Oranjekwartier";"IJsselstein                             ";"Buurt     ";"BU03530006";"1";"      3402";1
"IJsselveld-Oost";"IJsselstein                             ";"Buurt     ";"BU03530007";"1";"      3402";1
"IJsselveld-West";"IJsselstein                             ";"Buurt     ";"BU03530008";"1";"      3402";1
"IJsseloevers";"IJsselstein                             ";"Buurt     ";"BU03530009";"1";"      3402";1
"Hazenveld en Overwaard";"IJsselstein                             ";"Buurt     ";"BU03530010";"1";"      3402";1
"Rijpickerwaard";"IJsselstein                             ";"Buurt     ";"BU03530011";"1";"      3401";3
"Panoven";"IJsselstein                             ";"Buurt     ";"BU03530012";"1";"      3401";1
"Paardenveld";"IJsselstein                             ";"Buurt     ";"BU03530013";"1";"      3401";1
"Over Oudland";"IJsselstein                             ";"Buurt     ";"BU03530014";"1";"      3401";1
"Industrieterrein Lage Dijk";"IJsselstein                             ";"Buurt     ";"BU03530015";"1";"      3401";1
"Bedrijventerrein De Corridor";"IJsselstein                             ";"Buurt     ";"BU03530016";"1";"      3404";1
"De Hoven en De Boomgaard";"IJsselstein                             ";"Buurt     ";"BU03530017";"1";"      3404";1
"De Tuinen";"IJsselstein                             ";"Buurt     ";"BU03530018";"1";"      3404";1
"Het Hart";"IJsselstein                             ";"Buurt     ";"BU03530019";"1";"      3404";1
"De Wereldsteden";"IJsselstein                             ";"Buurt     ";"BU03530020";"1";"      3404";1
"De Rivieren";"IJsselstein                             ";"Buurt     ";"BU03530021";"1";"      3404";1
"Het Staatse";"IJsselstein                             ";"Buurt     ";"BU03530022";"1";"      3404";1
"Benschopperpoort en Het Podium";"IJsselstein                             ";"Buurt     ";"BU03530023";"1";"      3401";1
"Achterveld-Zuid";"IJsselstein                             ";"Buurt     ";"BU03530024";"1";"      3401";1
"Achterveld-West";"IJsselstein                             ";"Buurt     ";"BU03530025";"1";"      3403";4
"Achterveld-Noord";"IJsselstein                             ";"Buurt     ";"BU03530026";"1";"      3401";1
"Achterveld-Oost";"IJsselstein                             ";"Buurt     ";"BU03530027";"1";"      3401";1
"Eiterse Waard";"IJsselstein                             ";"Buurt     ";"BU03530028";"1";"      3401";1
"Landelijk gebied Noord";"IJsselstein                             ";"Buurt     ";"BU03530029";"1";"      3401";5
"Landelijk gebied Zuid";"IJsselstein                             ";"Buurt     ";"BU03530030";"1";"      3401";1
"Kaag en Braassem";"Kaag en Braassem                        ";"Gemeente  ";"GM1884    ";".";"         .";
"Wijk 00 Roelofarendsveen";"Kaag en Braassem                        ";"Wijk      ";"WK188400  ";"1";"         .";
"Roelofarendsveen";"Kaag en Braassem                        ";"Buurt     ";"BU18840000";"1";"      2371";1
"Oude Wetering";"Kaag en Braassem                        ";"Buurt     ";"BU18840001";"1";"      2377";1
"Roelofarendsveen-Noord";"Kaag en Braassem                        ";"Buurt     ";"BU18840002";"1";"      2371";1
"Burgemeesterswijk";"Kaag en Braassem                        ";"Buurt     ";"BU18840003";"1";"      2377";3
"Tuinbouwgebied";"Kaag en Braassem                        ";"Buurt     ";"BU18840004";"1";"      2371";2
"Wijk 01 Overig Alkemade";"Kaag en Braassem                        ";"Wijk      ";"WK188401  ";"1";"         .";
"Nieuwe Wetering";"Kaag en Braassem                        ";"Buurt     ";"BU18840101";"1";"      2376";1
"Rijpwetering";"Kaag en Braassem                        ";"Buurt     ";"BU18840102";"1";"      2375";1
"Oud Ade en Zevenhuizen";"Kaag en Braassem                        ";"Buurt     ";"BU18840104";"1";"      2374";1
"Kaag";"Kaag en Braassem                        ";"Buurt     ";"BU18840105";"1";"      2159";1
"Verspreide huizen Veenderpolder";"Kaag en Braassem                        ";"Buurt     ";"BU18840107";"1";"      2371";3
"Overige verspreide huizen";"Kaag en Braassem                        ";"Buurt     ";"BU18840109";"1";"      2374";4
"Wijk 02 Woubrugge";"Kaag en Braassem                        ";"Wijk      ";"WK188402  ";"1";"         .";
"Woubrugge";"Kaag en Braassem                        ";"Buurt     ";"BU18840200";"1";"      2481";1
"Ofwegen";"Kaag en Braassem                        ";"Buurt     ";"BU18840201";"1";"      2481";1
"Hoogmade";"Kaag en Braassem                        ";"Buurt     ";"BU18840202";"1";"      2355";1
"Woubrugge-West";"Kaag en Braassem                        ";"Buurt     ";"BU18840203";"1";"      2481";1
"Verspreide huizen Vierambachtspolder";"Kaag en Braassem                        ";"Buurt     ";"BU18840207";"1";"      2481";1
"Verspreide huizen Oudendijkse polder";"Kaag en Braassem                        ";"Buurt     ";"BU18840208";"1";"      2481";1
"Overige verspreide huizen";"Kaag en Braassem                        ";"Buurt     ";"BU18840209";"1";"      2355";1
"Wijk 03 Rijnsaterwoude";"Kaag en Braassem                        ";"Wijk      ";"WK188403  ";"1";"         .";
"Rijnsaterwoude";"Kaag en Braassem                        ";"Buurt     ";"BU18840300";"1";"      2465";1
"Verspreide huizen Rijnsaterwoude";"Kaag en Braassem                        ";"Buurt     ";"BU18840309";"1";"      2465";1
"Wijk 04 Leimuiden";"Kaag en Braassem                        ";"Wijk      ";"WK188404  ";"1";"         .";
"Leimuiden";"Kaag en Braassem                        ";"Buurt     ";"BU18840400";"1";"      2451";1
"Vriezekoop";"Kaag en Braassem                        ";"Buurt     ";"BU18840402";"1";"      2451";1
"Bilderdam";"Kaag en Braassem                        ";"Buurt     ";"BU18840404";"1";"      2451";1
"Uitbreiding West";"Kaag en Braassem                        ";"Buurt     ";"BU18840405";"1";"      2451";1
"Verspreide huizen Vriezekoopse polder";"Kaag en Braassem                        ";"Buurt     ";"BU18840407";"1";"      2451";1
"Verspreide huizen West";"Kaag en Braassem                        ";"Buurt     ";"BU18840408";"1";"      2451";1
"Verspreide huizen Oost";"Kaag en Braassem                        ";"Buurt     ";"BU18840409";"1";"      2451";3
"Kampen";"Kampen                                  ";"Gemeente  ";"GM0166    ";".";"         .";
"Wijk 00 Kampen";"Kampen                                  ";"Wijk      ";"WK016600  ";"1";"         .";
"Binnenstad Kampen";"Kampen                                  ";"Buurt     ";"BU01660000";"1";"      8261";1
"Brunnepe";"Kampen                                  ";"Buurt     ";"BU01660001";"1";"      8262";1
"Groene Hart";"Kampen                                  ";"Buurt     ";"BU01660002";"1";"      8261";1
"Hanzewijk en Greente";"Kampen                                  ";"Buurt     ";"BU01660003";"1";"      8262";1
"Kampen-Zuid";"Kampen                                  ";"Buurt     ";"BU01660004";"1";"      8266";1
"Flevowijk";"Kampen                                  ";"Buurt     ";"BU01660005";"1";"      8265";1
"Industrieterrein Kampen";"Kampen                                  ";"Buurt     ";"BU01660006";"1";"      8263";1
"Bovenbroek";"Kampen                                  ";"Buurt     ";"BU01660007";"1";"      8266";1
"Cellesbroek";"Kampen                                  ";"Buurt     ";"BU01660008";"1";"      8265";1
"Hagenbroek";"Kampen                                  ";"Buurt     ";"BU01660009";"1";"      8264";1
"De Maten";"Kampen                                  ";"Buurt     ";"BU01660010";"1";"      8265";1
"De Venen";"Kampen                                  ";"Buurt     ";"BU01660011";"1";"      8265";1
"Stationsplein";"Kampen                                  ";"Buurt     ";"BU01660012";"1";"      8267";1
"Stationskwartier";"Kampen                                  ";"Buurt     ";"BU01660013";"1";"      8265";1
"Het Onderdijks";"Kampen                                  ";"Buurt     ";"BU01660015";"1";"      8266";1
"Polder Dronthen";"Kampen                                  ";"Buurt     ";"BU01660016";"1";"      8265";1
"De Melm";"Kampen                                  ";"Buurt     ";"BU01660017";"1";"      8263";5
"Kampereiland";"Kampen                                  ";"Buurt     ";"BU01660018";"1";"      8267";1
"Mandjeswaard";"Kampen                                  ";"Buurt     ";"BU01660019";"1";"      8267";1
"Wijk 03 IJsselmuiden";"Kampen                                  ";"Wijk      ";"WK016603  ";"1";"         .";
"IJsselmuiden-Centrum";"Kampen                                  ";"Buurt     ";"BU01660300";"1";"      8271";1
"Losselanden";"Kampen                                  ";"Buurt     ";"BU01660301";"1";"      8271";1
"Industrieterrein IJsselmuiden";"Kampen                                  ";"Buurt     ";"BU01660302";"1";"      8271";1
"De Waard";"Kampen                                  ";"Buurt     ";"BU01660303";"1";"      8271";1
"De Koekoek";"Kampen                                  ";"Buurt     ";"BU01660304";"1";"      8271";1
"Oosterholt";"Kampen                                  ";"Buurt     ";"BU01660305";"1";"      8271";1
"Sonnenberg";"Kampen                                  ";"Buurt     ";"BU01660306";"1";"      8271";1
"Trekvaart";"Kampen                                  ";"Buurt     ";"BU01660307";"1";"      8271";1
"Wijk 04 Zalk";"Kampen                                  ";"Wijk      ";"WK016604  ";"1";"         .";
"Zalk";"Kampen                                  ";"Buurt     ";"BU01660400";"1";"      8276";1
"Verspreide huizen Zalk";"Kampen                                  ";"Buurt     ";"BU01660401";"1";"      8276";1
"Wijk 05 Wilsum";"Kampen                                  ";"Wijk      ";"WK016605  ";"1";"         .";
"Wilsum";"Kampen                                  ";"Buurt     ";"BU01660500";"1";"      8274";1
"Verspreide huizen Wilsum";"Kampen                                  ";"Buurt     ";"BU01660501";"1";"      8274";1
"Wijk 06 Grafhorst";"Kampen                                  ";"Wijk      ";"WK016606  ";"1";"         .";
"Grafhorst";"Kampen                                  ";"Buurt     ";"BU01660600";"1";"      8277";1
"Wijk 07 Kamperveen";"Kampen                                  ";"Wijk      ";"WK016607  ";"1";"         .";
"Kamperveen";"Kampen                                  ";"Buurt     ";"BU01660700";"1";"      8278";1
"Wijk 08 's-Heerenhoek";"Kampen                                  ";"Wijk      ";"WK016608  ";"1";"         .";
"'s-Heerenbroek";"Kampen                                  ";"Buurt     ";"BU01660800";"1";"      8275";1
"Wijk 09 Verspreide huizen";"Kampen                                  ";"Wijk      ";"WK016609  ";"1";"         .";
"Verspreide huizen polder Mastenbroek";"Kampen                                  ";"Buurt     ";"BU01660900";"1";"      8293";1
"Kapelle";"Kapelle                                 ";"Gemeente  ";"GM0678    ";".";"         .";
"Wijk 00 Kapelle";"Kapelle                                 ";"Wijk      ";"WK067800  ";"1";"         .";
"Kapelle";"Kapelle                                 ";"Buurt     ";"BU06780000";"1";"      4421";1
"Verspreide huizen Kapelle";"Kapelle                                 ";"Buurt     ";"BU06780009";"1";"      4421";1
"Wijk 01 Wemeldinge";"Kapelle                                 ";"Wijk      ";"WK067801  ";"1";"         .";
"Wemeldinge";"Kapelle                                 ";"Buurt     ";"BU06780100";"1";"      4424";1
"Verspreide huizen Wemeldinge";"Kapelle                                 ";"Buurt     ";"BU06780109";"1";"      4424";1
"Wijk 02 Schore";"Kapelle                                 ";"Wijk      ";"WK067802  ";"1";"         .";
"Schore";"Kapelle                                 ";"Buurt     ";"BU06780200";"1";"      4423";1
"Verspreide huizen Schore";"Kapelle                                 ";"Buurt     ";"BU06780209";"1";"      4423";1
"Katwijk";"Katwijk                                 ";"Gemeente  ";"GM0537    ";".";"         .";
"Wijk 01 Katwijk Noord";"Katwijk                                 ";"Wijk      ";"WK053701  ";"1";"         .";
"Rijnsoever-West";"Katwijk                                 ";"Buurt     ";"BU05370101";"1";"      2221";1
"Rijnsoever-Oost";"Katwijk                                 ";"Buurt     ";"BU05370102";"1";"      2221";1
"Hoornes-West";"Katwijk                                 ";"Buurt     ";"BU05370103";"1";"      2221";1
"Hoornes-Oost";"Katwijk                                 ";"Buurt     ";"BU05370104";"1";"      2221";1
"Wijk 02 't Heen";"Katwijk                                 ";"Wijk      ";"WK053702  ";"1";"         .";
"'t Heen-Zuid";"Katwijk                                 ";"Buurt     ";"BU05370201";"1";"      2222";1
"'t Heen-Noord";"Katwijk                                 ";"Buurt     ";"BU05370202";"1";"      2222";1
"Wijk 03 Katwijk aan den Rijn";"Katwijk                                 ";"Wijk      ";"WK053703  ";"1";"         .";
"Dorp";"Katwijk                                 ";"Buurt     ";"BU05370301";"1";"      2223";1
"'t Sandt";"Katwijk                                 ";"Buurt     ";"BU05370302";"1";"      2223";1
"Molenwijk";"Katwijk                                 ";"Buurt     ";"BU05370303";"1";"      2223";1
"Wijk 04 Katwijk Midden";"Katwijk                                 ";"Wijk      ";"WK053704  ";"1";"         .";
"Witte Hek";"Katwijk                                 ";"Buurt     ";"BU05370401";"1";"      2224";1
"Cleijn Duin";"Katwijk                                 ";"Buurt     ";"BU05370402";"1";"      2224";1
"Overduin";"Katwijk                                 ";"Buurt     ";"BU05370403";"1";"      2224";1
"Koestal";"Katwijk                                 ";"Buurt     ";"BU05370404";"1";"      2224";1
"Wijk 05 Katwijk aan Zee";"Katwijk                                 ";"Wijk      ";"WK053705  ";"1";"         .";
"Strand";"Katwijk                                 ";"Buurt     ";"BU05370501";"1";"      2225";1
"De Noord";"Katwijk                                 ";"Buurt     ";"BU05370502";"1";"      2225";1
"Noord-Oost";"Katwijk                                 ";"Buurt     ";"BU05370503";"1";"      2225";1
"Centrum";"Katwijk                                 ";"Buurt     ";"BU05370504";"1";"      2225";1
"Midden";"Katwijk                                 ";"Buurt     ";"BU05370505";"1";"      2225";1
"Zuid-West";"Katwijk                                 ";"Buurt     ";"BU05370506";"1";"      2225";1
"Zuid-Oost";"Katwijk                                 ";"Buurt     ";"BU05370507";"1";"      2225";1
"Wijk 06 Landelijk gebied Katwijk";"Katwijk                                 ";"Wijk      ";"WK053706  ";"1";"         .";
"Noordduinen";"Katwijk                                 ";"Buurt     ";"BU05370601";"1";"      2221";1
"Zuidduinen";"Katwijk                                 ";"Buurt     ";"BU05370602";"1";"      2223";4
"Zanderij Westerbaan";"Katwijk                                 ";"Buurt     ";"BU05370603";"1";"      2224";1
"De Mient en Kooltuin";"Katwijk                                 ";"Buurt     ";"BU05370604";"1";"      2223";1
"Wijk 07 Rijnsburg";"Katwijk                                 ";"Wijk      ";"WK053707  ";"1";"         .";
"Rijnsburg";"Katwijk                                 ";"Buurt     ";"BU05370700";"1";"      2231";1
"Valkenburgerweg";"Katwijk                                 ";"Buurt     ";"BU05370701";"1";"      2231";1
"Polder Kamphuizen";"Katwijk                                 ";"Buurt     ";"BU05370708";"1";"      2231";1
"Verspreide huizen Rijnsburg";"Katwijk                                 ";"Buurt     ";"BU05370709";"1";"      2231";1
"Wijk 08 Valkenburg";"Katwijk                                 ";"Wijk      ";"WK053708  ";"1";"         .";
"Valkenburg";"Katwijk                                 ";"Buurt     ";"BU05370800";"1";"      2235";1
"Verspreide huizen Ommedijkse Polder";"Katwijk                                 ";"Buurt     ";"BU05370808";"1";"      2235";1
"Overige verspreide huizen Valkenburg";"Katwijk                                 ";"Buurt     ";"BU05370809";"1";"      2235";1
"Kerkrade";"Kerkrade                                ";"Gemeente  ";"GM0928    ";".";"         .";
"Wijk 00 Kerkrade-West";"Kerkrade                                ";"Wijk      ";"WK092800  ";"1";"         .";
"Spekholzerheide";"Kerkrade                                ";"Buurt     ";"BU09280000";"1";"      6466";1
"Heilust";"Kerkrade                                ";"Buurt     ";"BU09280001";"1";"      6466";1
"Terwinselen";"Kerkrade                                ";"Buurt     ";"BU09280002";"1";"      6467";1
"Kaalheide";"Kerkrade                                ";"Buurt     ";"BU09280003";"1";"      6466";4
"Gracht";"Kerkrade                                ";"Buurt     ";"BU09280004";"1";"      6465";1
"Verspreide huizen Dentgenbach";"Kerkrade                                ";"Buurt     ";"BU09280009";"1";"      6468";1
"Wijk 01 Kerkrade-Oost";"Kerkrade                                ";"Wijk      ";"WK092801  ";"1";"         .";
"Kerkrade-Centrum";"Kerkrade                                ";"Buurt     ";"BU09280100";"1";"      6461";1
"Erenstein";"Kerkrade                                ";"Buurt     ";"BU09280101";"1";"      6463";1
"Rolduckerveld";"Kerkrade                                ";"Buurt     ";"BU09280102";"1";"      6463";5
"Holz";"Kerkrade                                ";"Buurt     ";"BU09280103";"1";"      6461";1
"Nulland";"Kerkrade                                ";"Buurt     ";"BU09280104";"1";"      6462";1
"Bleijerheide";"Kerkrade                                ";"Buurt     ";"BU09280105";"1";"      6462";1
"Wijk 02 Kerkrade-Noord";"Kerkrade                                ";"Wijk      ";"WK092802  ";"1";"         .";
"Eygelshoven-Kom";"Kerkrade                                ";"Buurt     ";"BU09280200";"1";"      6471";1
"Hopel";"Kerkrade                                ";"Buurt     ";"BU09280201";"1";"      6471";4
"Waubacherveld";"Kerkrade                                ";"Buurt     ";"BU09280202";"1";"      6471";1
"Vink";"Kerkrade                                ";"Buurt     ";"BU09280203";"1";"      6464";6
"Chevremont";"Kerkrade                                ";"Buurt     ";"BU09280204";"1";"      6463";4
"Haanrade";"Kerkrade                                ";"Buurt     ";"BU09280205";"1";"      6464";1
"Koggenland";"Koggenland                              ";"Gemeente  ";"GM1598    ";".";"         .";
"Wijk 00 Westerkoggenland";"Koggenland                              ";"Wijk      ";"WK159800  ";"1";"         .";
"De Goorn";"Koggenland                              ";"Buurt     ";"BU15980001";"1";"      1648";2
"Berkhout";"Koggenland                              ";"Buurt     ";"BU15980002";"1";"      1647";1
"Bobeldijk";"Koggenland                              ";"Buurt     ";"BU15980003";"1";"      1647";1
"Wijk 01 Spierdijk";"Koggenland                              ";"Wijk      ";"WK159801  ";"1";"         .";
"Spierdijk";"Koggenland                              ";"Buurt     ";"BU15980100";"1";"      1641";4
"Wijk 02 Zuidermeer";"Koggenland                              ";"Wijk      ";"WK159802  ";"1";"         .";
"Zuidermeer en omgeving";"Koggenland                              ";"Buurt     ";"BU15980200";"1";"      1652";1
"Wijk 03 Ursem";"Koggenland                              ";"Wijk      ";"WK159803  ";"1";"         .";
"Ursem-Centrum";"Koggenland                              ";"Buurt     ";"BU15980300";"1";"      1645";1
"Rustenburg";"Koggenland                              ";"Buurt     ";"BU15980301";"1";"      1645";1
"Noorddijk en omgeving";"Koggenland                              ";"Buurt     ";"BU15980308";"1";"      1645";1
"Mijzer polder";"Koggenland                              ";"Buurt     ";"BU15980309";"1";"      1645";4
"Wijk 04 Avenhorn";"Koggenland                              ";"Wijk      ";"WK159804  ";"1";"         .";
"Avenhorn";"Koggenland                              ";"Buurt     ";"BU15980400";"1";"      1633";1
"Scharwoude";"Koggenland                              ";"Buurt     ";"BU15980401";"1";"      1634";1
"Grosthuizen";"Koggenland                              ";"Buurt     ";"BU15980402";"1";"      1633";1
"Wijk 05 Oudendijk";"Koggenland                              ";"Wijk      ";"WK159805  ";"1";"         .";
"Oudendijk";"Koggenland                              ";"Buurt     ";"BU15980500";"1";"      1631";1
"Wijk 06 Obdam";"Koggenland                              ";"Wijk      ";"WK159806  ";"1";"         .";
"Obdam";"Koggenland                              ";"Buurt     ";"BU15980600";"1";"      1713";1
"Verspreide huizen langs Obdammerdijk";"Koggenland                              ";"Buurt     ";"BU15980608";"1";"      1713";1
"Verspreide huizen in Berkmeer polder";"Koggenland                              ";"Buurt     ";"BU15980609";"1";"      1713";1
"Wijk 07 Hensbroek";"Koggenland                              ";"Wijk      ";"WK159807  ";"1";"         .";
"Hensbroek";"Koggenland                              ";"Buurt     ";"BU15980700";"1";"      1711";1
"Wogmeer";"Koggenland                              ";"Buurt     ";"BU15980701";"1";"      1711";1
"Kollumerland en Nieuwkruisland";"Kollumerland en Nieuwkruisland          ";"Gemeente  ";"GM0079    ";".";"         .";
"Wijk 00 Kollum";"Kollumerland en Nieuwkruisland          ";"Wijk      ";"WK007900  ";"1";"         .";
"Kollum";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790000";"1";"      9291";1
"Verspreide huizen Kollum";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790009";"1";"      9291";1
"Wijk 01 Oost";"Kollumerland en Nieuwkruisland          ";"Wijk      ";"WK007901  ";"1";"         .";
"Burum";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790100";"1";"      9851";1
"Kollumerpomp";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790101";"1";"      9293";1
"Warfstermolen";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790102";"1";"      9852";1
"Munnekezijl";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790103";"1";"      9853";1
"Augsbuurt";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790104";"1";"      9292";1
"Verspreide huizen Burum";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790106";"1";"      9851";1
"Verspreide huizen Kollumerpomp";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790107";"1";"      9293";1
"Verspreide huizen Warfstermolen";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790108";"1";"      9852";1
"Verspreide huizen Munnekezijl";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790109";"1";"      9853";3
"Wijk 02 Noordwest";"Kollumerland en Nieuwkruisland          ";"Wijk      ";"WK007902  ";"1";"         .";
"Oudwoude";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790200";"1";"      9294";1
"Triemen";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790201";"1";"      9296";1
"Westergeest";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790202";"1";"      9295";1
"Verspreide huizen Oudwoude";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790208";"1";"      9294";1
"Verspreide huizen Westergeest";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790209";"1";"      9295";1
"Wijk 03 Zuidwest";"Kollumerland en Nieuwkruisland          ";"Wijk      ";"WK007903  ";"1";"         .";
"Kollumerzwaag";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790300";"1";"      9298";1
"Zwagerbosch";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790301";"1";"      9299";1
"Veenklooster";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790302";"1";"      9297";1
"Verspreide huizen Kollumerzwaag";"Kollumerland en Nieuwkruisland          ";"Buurt     ";"BU00790309";"1";"      9298";2
"Korendijk";"Korendijk                               ";"Gemeente  ";"GM0588    ";".";"         .";
"Wijk 00 Nieuw-Beijerland";"Korendijk                               ";"Wijk      ";"WK058800  ";"1";"         .";
"Nieuw-Beijerland";"Korendijk                               ";"Buurt     ";"BU05880000";"1";"      3264";1
"Zuidzijde (gedeeltelijk)";"Korendijk                               ";"Buurt     ";"BU05880001";"1";"      3264";1
"Verspreide huizen Nieuw-Beijerland";"Korendijk                               ";"Buurt     ";"BU05880009";"1";"      3264";1
"Wijk 01 Piershil";"Korendijk                               ";"Wijk      ";"WK058801  ";"1";"         .";
"Piershil";"Korendijk                               ";"Buurt     ";"BU05880100";"1";"      3265";1
"Zwartsluisje (gedeeltelijk)";"Korendijk                               ";"Buurt     ";"BU05880103";"1";"      3265";1
"Verspreide huizen Piershil";"Korendijk                               ";"Buurt     ";"BU05880109";"1";"      3265";5
"Wijk 02 Goudswaard";"Korendijk                               ";"Wijk      ";"WK058802  ";"1";"         .";
"Goudswaard";"Korendijk                               ";"Buurt     ";"BU05880200";"1";"      3267";1
"Nieuwendijk (gedeeltelijk)";"Korendijk                               ";"Buurt     ";"BU05880201";"1";"      3267";1
"Oudendijk";"Korendijk                               ";"Buurt     ";"BU05880202";"1";"      3267";1
"Verspr.h. Eiland Tiengemeten (ged.)";"Korendijk                               ";"Buurt     ";"BU05880208";"1";"      3267";1
"Overige verspreide huizen Goudswaard";"Korendijk                               ";"Buurt     ";"BU05880209";"1";"      3267";1
"Wijk 03 Zuid-Beijerland";"Korendijk                               ";"Wijk      ";"WK058803  ";"1";"         .";
"Zuid-Beijerland";"Korendijk                               ";"Buurt     ";"BU05880300";"1";"      3284";1
"Zwartsluisje (gedeeltelijk)";"Korendijk                               ";"Buurt     ";"BU05880301";"1";"      3284";1
"Zuidzijde (gedeeltelijk)";"Korendijk                               ";"Buurt     ";"BU05880302";"1";"      3284";1
"Schenkeldijk";"Korendijk                               ";"Buurt     ";"BU05880303";"1";"      3284";1
"Nieuwendijk (gedeeltelijk)";"Korendijk                               ";"Buurt     ";"BU05880304";"1";"      3284";1
"Verspr.h. Eiland Tiengemeten (ged.)";"Korendijk                               ";"Buurt     ";"BU05880308";"1";"      3284";1
"Overige verspr.h. Zuid-Beijerland";"Korendijk                               ";"Buurt     ";"BU05880309";"1";"      3284";1
"Krimpen aan den IJssel";"Krimpen aan den IJssel                  ";"Gemeente  ";"GM0542    ";".";"         .";
"Wijk 00 Krimpen aan den IJssel";"Krimpen aan den IJssel                  ";"Wijk      ";"WK054200  ";"1";"         .";
"Oud Krimpen";"Krimpen aan den IJssel                  ";"Buurt     ";"BU05420000";"1";"      2921";1
"Kortland-Noord";"Krimpen aan den IJssel                  ";"Buurt     ";"BU05420001";"1";"      2922";1
"Kortland-Zuid";"Krimpen aan den IJssel                  ";"Buurt     ";"BU05420002";"1";"      2923";1
"Boveneind";"Krimpen aan den IJssel                  ";"Buurt     ";"BU05420003";"1";"      2924";1
"Langeland";"Krimpen aan den IJssel                  ";"Buurt     ";"BU05420004";"1";"      2925";1
"Lansingh-Zuid";"Krimpen aan den IJssel                  ";"Buurt     ";"BU05420005";"1";"      2926";1
"Krimpenerwaard";"Krimpenerwaard                          ";"Gemeente  ";"GM1931    ";".";"         .";
"Wijk 00 Lekkerkerk";"Krimpenerwaard                          ";"Wijk      ";"WK193100  ";"1";"         .";
"Tiendhoek";"Krimpenerwaard                          ";"Buurt     ";"BU19310000";"1";"      2941";1
"Schuwacht";"Krimpenerwaard                          ";"Buurt     ";"BU19310001";"1";"      2941";1
"Opperduit";"Krimpenerwaard                          ";"Buurt     ";"BU19310002";"1";"      2941";1
"Tiendweg-West";"Krimpenerwaard                          ";"Buurt     ";"BU19310003";"1";"      2941";1
"Lekkerkerk-Oost";"Krimpenerwaard                          ";"Buurt     ";"BU19310004";"1";"      2941";1
"Prinsessenbuurt";"Krimpenerwaard                          ";"Buurt     ";"BU19310005";"1";"      2941";1
"Koninginnenbuurt";"Krimpenerwaard                          ";"Buurt     ";"BU19310006";"1";"      2941";1
"Wibautsraat en Lorentzweg";"Krimpenerwaard                          ";"Buurt     ";"BU19310007";"1";"      2941";1
"Molenwerf en omstreken";"Krimpenerwaard                          ";"Buurt     ";"BU19310008";"1";"      2941";1
"Voorstraat en Centrum";"Krimpenerwaard                          ";"Buurt     ";"BU19310009";"1";"      2941";1
"Industrieterrein";"Krimpenerwaard                          ";"Buurt     ";"BU19310010";"1";"      2941";1
"Verspr. huizen Lekkerkerk";"Krimpenerwaard                          ";"Buurt     ";"BU19310011";"1";"      2941";1
"Wijk 01 Krimpen aan de Lek";"Krimpenerwaard                          ";"Wijk      ";"WK193101  ";"1";"         .";
"Hoofdstraat";"Krimpenerwaard                          ";"Buurt     ";"BU19310100";"1";"      2931";1
"Binnen Krimpen";"Krimpenerwaard                          ";"Buurt     ";"BU19310101";"1";"      2931";1
"Beroepenbuurt";"Krimpenerwaard                          ";"Buurt     ";"BU19310102";"1";"      2931";1
"Krimpen-Oost";"Krimpenerwaard                          ";"Buurt     ";"BU19310103";"1";"      2931";1
"Zaag";"Krimpenerwaard                          ";"Buurt     ";"BU19310104";"1";"      2931";1
"Tiendweg Noord";"Krimpenerwaard                          ";"Buurt     ";"BU19310105";"1";"      2931";1
